n,SMILE,class
124,Cc1ccc(-c2[nH]c(=NCC3CCN(Cc4ccccc4C)CC3)sc2-c2ccc(C)cc2)cc1,1.0
125,CCN(C)C(=O)OC1CCN(Cc2ccccc2)CC1,0.0
126,CN(CCCCCCCOc1ccc(-c2oc3ccccc3c2C(=O)c2c3ccccc3cc3ccccc23)cc1)Cc1ccccc1,0.0
127,O=C(NCCc1c[nH]c2ccccc12)c1cc[n+](Cc2ccc(F)cc2)cc1,0.0
128,CCN(CC)CCOC(=O)C=Cc1ccc2oc(C(=O)Nc3ccccc3)cc(=O)c2c1,0.0
129,COc1ccc(C2=NN(C(C)=O)C(c3ccc(N4CCN(Cc5ccccc5)CC4)cc3)C2)cc1OC,0.0
130,OC1CCN(C2Cc3ccccc3C2)CC1,0.0
131,COc1ccc(Cn2cc(C(=O)NCCCCCN=c3c4c([nH]c5ccc(OC)cc35)CCCC4)c(=O)c3ccccc32)cc1,0.0
132,CCOC(=O)c1ccc2nc(-c3ccc(C(=O)OC)cc3)c3c(c2c1)N(Cc1ccccc1)CCC3,0.0
133,Cc1cc(=O)oc2cc(OCc3cc[n+](Cc4ccc(Br)cc4)cc3)ccc12,1.0
134,Cc1cc(-c2c3ccccc3[n+](C)c3ccccc23)cc(C)c1O,0.0
135,C[n+]1ccccc1C=NO,0.0
136,Brc1ccc(-c2nnc(N3CCN(c4ccccn4)CC3)o2)cc1,1.0
137,COc1ccc(-c2[nH]c(=NC(=O)C3CCN(Cc4cccc(F)c4)CC3)sc2-c2ccc(OC)cc2)cc1,1.0
138,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3cccc(F)c3)CC1)C2,1.0
139,COc1c(C(=O)CCC2CCN(CC3CCCCC3)CC2)cc(Cl)c2[nH]ccc12,1.0
140,COc1ccc2c(c1)c(CC(=O)NCCCNCCC=Nc1cc(O)c(NCCCNCCCNC(=O)Cc3c(C)n(C(=O)c4ccc(Cl)cc4)c4ccc(OC)cc34)cc1O)c(C)n2C(=O)c1ccc(Cl)cc1,0.0
141,COc1ccc(NC(=S)NN=c2c3c([nH]c4ccccc24)CCCC3)cc1,1.0
142,CNC(=O)c1cc2c(OC(=O)N(C)C)cccc2[n+](C)c1,1.0
143,COc1ccc(CN=c2c3c([nH]c4cc(Cl)ccc24)CCCC3)cc1,1.0
144,CCN(CC)P(=O)(Oc1ccc(C)cc1)N(C)C,0.0
145,O=C(CCCCC1CCSS1)NCCCCCCCN=c1c2c([nH]c3ccccc13)CCCC2,1.0
146,CC(c1ccc2c(c1O)OCO2)c1nccc2cc3c(cc12)OCO3,0.0
147,CCNC(=O)Oc1ccc2c(c1)C1(C)COC(O2)O1,1.0
148,N=c1c2c([nH]c3cc([N+](=O)[O-])ccc13)CCCC2,1.0
149,CCN(C)C(=O)Oc1cccc2c1cc(C(=O)NC(C)C)c[n+]2C,0.0
150,Cc1c(C)c2ccc(OCC3CCN(Cc4cccc(CO[N+](=O)[O-])c4)CC3)cc2oc1=O,0.0
151,C#CCCCC[n+]1ccccc1C=NO,0.0
152,CN(C)Cc1ccc(CSCc2ccc(CN(C)C)o2)o1,0.0
153,COc1cc2cc(C3CC[N+](C)(Cc4ccccc4)CC3O)sc2cc1OC,0.0
154,C1=Nc2sc3c(c2C2=NCCN12)CCCC3,0.0
155,Brc1ccc2c(CCC3CCN(Cc4ccccc4)CC3)noc2c1,1.0
156,O=C(O)CCCCC1CCSS1,0.0
157,ON=Cc1cc[n+](CCC[n+]2ccc(C=NO)cc2)cc1,0.0
158,COc1cccc2cc[n+](-c3ccccc3F)cc12,0.0
159,CC(C)c1ccc(C2CN(C)C3(C(=O)c4ccccc4C3=O)C23CSc2ccccc2C3=O)cc1,0.0
160,COc1cccc(CNC2CCN(Cc3ccccc3)C2)c1OC,0.0
161,O=C(CCCCC1CCSS1)NCCN=c1c2c([nH]c3ccccc13)CCCC2,1.0
162,Cc1ccc(C(=O)NP(=O)(N2CCOCC2)N2CCOCC2)cc1,0.0
163,O=C(C=NO)Nc1ccc[n+](CC[n+]2cccc(NC(=O)C=NO)c2)c1,0.0
164,CCN(C)C(=O)OC1CCCN(C2Cc3ccccc3C2)C1,0.0
165,ON=Cc1cc[n+](CCC[n+]2ccc(-c3ccccc3)cc2)cc1,0.0
166,CC(C)Cn1cc(C(=O)C(F)F)cn1,0.0
167,COc1ccc([N+](C)(C)Cc2ccccc2)cc1,0.0
168,CN1CCN(c2ccc(C=Cc3ccc4ccccc4[n+]3C)cc2)CC1,0.0
