n,SMILE,class
195,CCOC(=O)C1Cc2c([nH]c3ccccc23)CN1Cc1cn(CCCN=c2cc[nH]c3cc(Cl)ccc23)nn1,1.0
196,COc1cc(NC(C)CCCNC(=O)CCC(=O)NCCCC(C)Nc2cc(OC)cc3cccnc23)c2ncccc2c1,0.0
197,N=c1ccc(-c2cccc(C=C3Oc4ccccc4C3=O)c2)c[nH]1,0.0
198,C=CC(C)(O)CCC1C(C)(O)CCC2C(C)(C)CCCC21C,0.0
199,COc1cc(Cl)cc2[nH]c3cc(Oc4ccc(OC(F)(F)F)cc4)ccc3c(=O)c12,1.0
200,CSc1nncc(-c2cnnc(SCCCO)n2)n1,1.0
201,NC(=S)N1N=C(c2ccc(Cl)cc2)CC1c1cc2ccccc2nc1N1CCOCC1,0.0
202,COc1cc(C=C2CCC(=Cc3ccc(OCCCCN4CCOCC4)c(OC)c3)C2=O)ccc1OCCCCN1CCOCC1,1.0
203,CCc1cc(=Nc2ccc3ccccc3c2)n2[nH]cnc2n1,1.0
204,Nc1ccc2oc(-c3ccc(C(F)(F)F)cc3)cc(=O)c2c1,0.0
205,Cc1c(-c2ccc(-c3ccc(OC(F)(F)F)cc3)nc2)[nH]c2cc(F)c(F)cc2c1=O,1.0
206,O=C(CSCC(O)COP(=O)(OCc1ccccc1)OCc1ccccc1)OCc1ccccc1,0.0
207,Cc1ccc(S(=O)(=O)c2c(NS(=O)(=O)c3ccc(F)cc3)n(CCc3ccccc3)c3nc4ccccc4nc23)cc1,0.0
208,CC(CCCN=c1cc[nH]c2cc(Cl)ccc12)NCC12CC3CC(CC(C3)C1)C2,1.0
209,Cn1cc(CN2CC3(CCN(c4ncc(C(O)=NO)cn4)C3)C2)c2ccc(Br)cc21,1.0
210,CC12C(=O)C=CC=C1CCC1C2CCC2(O)C(=O)OC3(C)C4CC5(C)C(COC16OC23C5C6=O)C(=O)O4,0.0
211,COc1ccc(C=CC(=O)C2=C(C=Cc3ccc(OC)cc3)N=C3SC=C(C)N3C2c2cc(OC)c(OC)c(OC)c2)cc1,0.0
212,CC1CCC2C(C)C(OCCCC(=O)O)OC3OC4(C)CCC1C32OO4,1.0
213,N=c1[nH]cc(C(O)C(Cl)CN)[nH]1,1.0
214,O=C1Cc2c([nH]c3ccc(Br)cc23)-c2ccccc2N1,0.0
215,Clc1ccc(C(c2ccccc2)(c2ccc(CN3CCCC3)cc2)n2cnc3ccccc32)cc1,1.0
216,Cc1cc(N2CCOCC2)[nH]c(=NCCCCN=c2cc[nH]c3cc(Cl)ccc23)n1,1.0
217,NCC1Cc2cc(-c3nccc(N4CCC(O)CC4)n3)cc(F)c2O1,1.0
218,Oc1cccc(CNC2CCCc3occc32)c1Cl,0.0
219,CCCCCCCCCNC([PH](=O)(=O)O)[PH](=O)(=O)O,0.0
220,NS(=O)(=O)NC(=O)OCC1C=CC(n2ccc(=O)[nH]c2=O)O1,0.0
221,CCCC(O)C1=C(Br)C(=CCl)OC1=O,0.0
222,Cn1ccnc1C=NN=c1cc[nH]c2cc(Cl)ccc12,1.0
223,CCC(=O)CCCCCC1NC(=O)C2CCCCN2C(=O)C(C(C)CC)NC(=O)C(c2cnc3ccccc3c2Cl)NC1=O,1.0
224,OCc1csc(N2CCCC(COc3cccc(F)c3)C2)n1,1.0
225,Cc1cccc(C=CC(=O)c2ccc(O)cc2)c1,0.0
226,Cc1ccc(C2OOC(c3ccc(C(=O)NCCc4ccccc4)cc3)OO2)cc1,0.0
227,CCOc1cc(Cl)c(C(C)NC(=O)c2ccccc2)cc1OCC,1.0
228,COc1ccc(CN2CC2Cn2cc(C)c(=O)[nH]c2=O)cc1,0.0
229,NCC(=O)NCC1CCC2(CC1)OOC1(O2)C2CC3CC(C2)CC1C3,1.0
230,CCCN(CCCN=c1cc[nH]c2cc(Cl)ccc12)CC1CC2C=CC1C2,1.0
231,N=c1nc(-c2c[nH]c3ccc(Br)cc23)cc[nH]1,0.0
232,COCCN1CCC2(CC1)CC(NCc1ccc(C)s1)c1ccccc12,1.0
233,COc1ccc(N=c2[nH]cnc3ccc(NC(=S)Nc4cccc5ccccc45)cc23)cc1OC,1.0
234,NS(=O)(=O)c1cncc(-c2ccc3nccc(-c4ccc(OC(F)(F)F)cc4)c3n2)c1,1.0
235,COC(=O)C1=NN(c2ccccc2)C2N1c1ccccc1N1C(C(=O)OC)=NN(c3ccccc3)C21C,0.0
236,CC1CCC2(C(=O)NCCCN3CCN(CCCN)CC3)CCC3(C)C(=CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C2C1C,1.0
237,Cc1cc(=NC2CCCC2)[nH]c(=Nc2ccc(OCCCCCOc3ccc(N=c4[nH]c(C)cc(=NC5CCCC5)[nH]4)cc3)cc2)[nH]1,1.0
238,C=C1CCC2OC2(C)CCC2C(=C(C)C)C(=O)CC2(C)CC1OC(C)=O,0.0
239,C[N+]1(C)CCOC(O)(c2ccc(-c3ccc(C4(O)C[N+](C)(C)CCO4)cc3)cc2)C1,0.0
240,CCCCCc1cc2c(c(OS(=O)(=O)c3ccc(C)cc3)c1)C1=C(CCC(C)(O)C1OCC)C(C)(C)O2,0.0
241,OC12C=C(c3nccc4c3[nH]c3ccccc34)C3CCN(CCCCC=CCC1)CC31CC3C=CCCCCN3C21,1.0
242,CC(=C(CCO)SSCc1ccccc1)N(C=O)CCCCCCCCCCCCN(C=O)C(C)=C(CCO)SSCc1ccccc1,1.0
243,CC1CC23C(=O)C(C)CC(C(C)(C)O)C4(O)OOC(C)(C=C2C1=O)C(O)C34,0.0
244,C=CCN1CCC(CNCc2ccc3ccccc3n2)C(C)(C)C1,0.0
245,CC(C)CC(=NC(=O)OC(C)(C)C)C(=O)NNC(=O)CCS(=O)(=O)c1ccccc1,0.0
246,C=CC1C(OC2OC(CO)C(O)C(O)C2O)OC=C2C(=O)OCCC21O,0.0
247,COc1ccc(C(=O)CSS(=O)(=O)c2ccccc2)cc1,0.0
248,CCS(=O)(=O)N1CCC2(CC1)COC1(OO2)C2CC3CC(C2)CC1C3,1.0
249,CC(C)(C)OC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)N=c1[nH]ccs1,0.0
